,HomeCountry,PresentCountry,Age,Words,Filename,Date,Time,Sex,ID,duration
128,United States Virgin Islands,St. Lucia,23,In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since. Whenever you feel like criticizing anyone~ he told me~ just remember that all the people in this world haven't had the advantages that you've had.,c20a2a70367804M,0.4428125,13:59,M,902692,0
129,Trinidad,Trinidad,18,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,a62ac4ba5794706F,0.4428125,14:08,F,461481,0
130,Trinidad,Trinidad,19,Granted: I am an inmate of a mental hospital; my keeper is watching me~ he never lets me out of his sight; there’s a peephole in the door~ and my keeper’s eye is the shade of brown that can never see through a blue-eyed type like me.,3a7184b3a7c60b9F,0.4428125,14:21,F,904136,0
131,Barbados,Barbados,33,Granted: I am an inmate of a mental hospital; my keeper is watching me~ he never lets me out of his sight; there’s a peephole in the door~ and my keeper’s eye is the shade of brown that can never see through a blue-eyed type like me.,77372c8933a0a6M,0.4428125,14:35,M,985866,27.73333333
132,Tobago,Tobago,56,Granted: I am an inmate of a mental hospital; my keeper is watching me~ he never lets me out of his sight; there’s a peephole in the door~ and my keeper’s eye is the shade of brown that can never see through a blue-eyed type like me.,4755675332687bF,0.4428125,14:47,F,821828,31.488
133,Jamaica,Jamaica,23,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,278681b0067701M,0.4428125,15:27,M,853194,0
134,Grenada,Grenada,,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,8ba6118a0cbb379F,0.4428125,19:15,F,711964,0
135,Tobago,Tobago,,Granted: I am an inmate of a mental hospital; my keeper is watching me~ he never lets me out of his sight; there’s a peephole in the door~ and my keeper’s eye is the shade of brown that can never see through a blue-eyed type like me.,68b9bb24cc33408F,0.4428125,19:42,F,780638,0
136,Tobago,Tobago,,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,c32cba0979aac5F,0.4428125,19:51,F,980643,27.98933333
137,Tobago,Tobago,,Granted: I am an inmate of a mental hospital; my keeper is watching me~ he never lets me out of his sight; there’s a peephole in the door~ and my keeper’s eye is the shade of brown that can never see through a blue-eyed type like me.,b5285233c89051F,0.4428125,19:55,F,830321,31.91466667
138,Trinidad,Trinidad,18,There is an idea of a Patrick Bateman~ some kind of abstraction~ but there is no real me~ only an entity~ something illusory~ and though I can hide my cold gaze and you can shake my hand and feel flesh gripping yours and maybe you can even sense our lifestyles are probably comparable: I simply am not there.,276b580121accc7F,0.4428125,19:55,F,537241,0
139,St. Lucia,St. Lucia,20,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,959c03bb6b32c47F,0.4428125,19:56,F,604909,25.17333333
140,Dominica,Barbados,22,There is an idea of a Patrick Bateman~ some kind of abstraction~ but there is no real me~ only an entity~ something illusory~ and though I can hide my cold gaze and you can shake my hand and feel flesh gripping yours and maybe you can even sense our lifestyles are probably comparable: I simply am not there.,a71335792871a6M,0.4428125,20:03,M,693363,0
141,St. Lucia,St. Lucia,22,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,68577017b80239M,0.4428125,21:22,M,733712,24.14933333
142,St. Lucia,St. Lucia,,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,36c740aa2a6381F,0.484479167,0:03,F,462157,24.66133333
143,St. Lucia,St. Lucia,39,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,26c18c197737ac3F,0.484479167,0:12,F,518823,26.624
144,Trinidad,Trinidad,,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,0b76a03cb9270c8F,0.484479167,0:34,F,281250,36.352
145,Trinidad,Trinidad,,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,a063736b5a4542F,0.484479167,3:35,F,882136,0
146,St. Lucia,St. Lucia,22,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,556a4461675066aM,0.484479167,10:09,M,177986,30.72
147,Trinidad,Trinidad,27,Granted: I am an inmate of a mental hospital; my keeper is watching me~ he never lets me out of his sight; there’s a peephole in the door~ and my keeper’s eye is the shade of brown that can never see through a blue-eyed type like me.,1921ab9b9262b7F,0.484479167,10:49,F,385262,0
148,Barbados,Barbados,19,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,48a014c12351b04M,0.484479167,11:37,M,95679,33.62133333
149,Grenada,Grenada,23,“Everything has beauty~ but not everyone sees it.” ,a59954355a47765M,0.484479167,12:25,M,798439,0
150,St. Lucia,St. Lucia,16,I invented a new word Plagiarism!,313040c8bc66c4M,0.484479167,13:18,M,11920,0
151,Trinidad,Trinidad,31,“To be wealthy and honored in an unjust society is a disgrace.” ,24a0701492480c2F,0.484479167,14:27,F,970061,0
152,Trinidad,Trinidad,23,What do you call a fake noodle? An impasta!,5360b905407cc99F,0.484479167,16:33,F,810342,32.34133333
153,Trinidad,Trinidad,23,The numbers 19 and 20 got into a fight. 21,b9c23496141738aF,0.484479167,16:35,F,331982,0
154,Barbados,Guyana,,I just wrote a book on reverse psychology. Do *not* read it!,1b714ac84906728F,0.484479167,17:11,F,520486,32.17066667
155,Jamaica,Trinidad,21,I recently decided to sell my vacuum cleaner as all it was doing was gathering dust.,b5a17c3376b8c1F,0.484479167,17:37,F,646838,0
156,Trinidad,Trinidad,,My boss told me to have a good day.. so I went home.,9768b05c2b9541F,0.484479167,18:11,F,371789,0
157,Trinidad,Trinidad,22,I’ve just written a song about tortillas; actually~ it’s more of a rap.,6a84a42a9a8562M,0.484479167,18:12,M,837201,30.464
158,Trinidad,Trinidad,,So what if I don’t know what “Armageddon” means? It’s not the end of the world.,54b92821523c767F,0.484479167,18:14,F,350376,0
159,St. Lucia,St. Lucia,27,Heard about the new restaurant called Karma? There's no menu: You get what you deserve.,33979b29c57467F,0.484479167,18:28,F,698089,29.35466667
160,Barbados,Barbados,,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,a486b379540226F,0.484479167,18:31,F,279500,32
161,Guyana,Trinidad,,“Never give a sword to a man who can't dance.” ,2ac062123701b55F,0.484479167,18:33,F,408941,0
162,Barbados,Barbados,,“To be wronged is nothing~ unless you continue to remember it.” ,32126123006b12aF,0.484479167,18:35,F,152379,0
163,Trinidad,Trinidad,,Don’t you hate it when someone answers their own questions? I do.,0b4a0614b377252F,0.484479167,18:39,F,96352,0
164,St. Lucia,Trinidad,,What did one hat say to the other? You stay here. I’ll go on ahead.,50413c622b6b477F,0.484479167,18:43,F,818667,28.58666667
165,Barbados,Trinidad,,Why was the cook arrested? He was caught beating an egg.,48674695069c426M,0.484479167,18:55,M,47085,28.416
166,Grenada,Trinidad,,“The gem cannot be polished without friction~ nor man perfected without trials.” ,97c5b2452892309M,0.484479167,18:58,M,613588,0
167,Grenada,Trinidad,,I invented a new word Plagiarism!,8609056972611aF,0.484479167,18:59,F,269863,0
168,St. Lucia,St. Lucia,,Dreams are nothing without implementation.,c3a838a4a35c8aaF,0.484479167,19:07,F,680703,0
169,Barbados,Trinidad,,“Everything has beauty~ but not everyone sees it.” ,3217328b2ac5018M,0.484479167,19:09,M,262571,33.45066667
170,St. Vincent and the Grenadines,Trinidad,,Heard about the new restaurant called Karma? There's no menu: You get what you deserve.,b62b031988657c5F,0.484479167,19:30,F,947474,0
171,St. Lucia,Trinidad,,It is the mark of an educated mind to be able to entertain a thought without accepting it.,cab900285183879F,0.484479167,19:31,F,550759,0
172,St. Vincent and the Grenadines,Trinidad,21,Dreams are nothing without implementation.,64aa99cac596b84M,0.484479167,19:41,M,605933,0
173,Tobago,Trinidad,,What did one hat say to the other? You stay here. I’ll go on ahead.,969a34699b38bc7F,0.484479167,19:43,F,890943,26.02666667
174,Barbados,Barbados,,“The man who moves a mountain begins by carrying away small stones.” ,58b3325611300a4F,0.484479167,19:49,F,938555,28.9785034
175,Trinidad,Barbados,,Today I will do my best~ said Tomorrow.,6292528c97b4518F,0.484479167,19:52,F,77435,0
176,Tobago,Tobago,,Heard about the new restaurant called Karma? There's no menu: You get what you deserve.,732888c0763c4aM,0.484479167,19:53,M,402058,0
177,Tobago,Tobago,,“Respect yourself and others will respect you.”,aa152517102c76F,0.484479167,20:01,F,227993,27.98933333
178,Tobago,Tobago,,“He who knows all the answers has not been asked all the questions.”,aa333531c8a3058M,0.484479167,20:05,M,363640,29.01333333
179,Trinidad,Tobago,,Don’t you hate it when someone answers their own questions? I do.,5b815222c9a4536F,0.484479167,20:13,F,503769,32.68266667
180,Tobago,Grenada,26,“The gem cannot be polished without friction~ nor man perfected without trials.” ,c9b9b9c70c77287F,0.484479167,20:26,F,699736,29.09866667
181,Tobago,Grenada,,Toady is a lovely day.,8a77891aaa5c0b5F,0.484479167,20:32,F,295191,23.21066667
182,Tobago,Tobago,,What did one hat say to the other? You stay here. I’ll go on ahead.,7096b4586c69a48M,0.484479167,22:26,M,878742,0
183,Grenada,St. Vincent and the Grenadines,,Dreams are nothing without implementation.,67b5151c20170b7F,0.484479167,22:59,F,529099,0
184,Jamaica,Trinidad,21,How to throw a party in space? You planet!,b3b5a69a4b9793F,0.484479167,23:08,F,259063,0
185,Grenada,St. Vincent and the Grenadines,,“The Man who says he can~ and the man who says he can not.. Are both correct”,14cc140a344b1497M,0.484479167,23:17,M,464039,0
186,Trinidad,Trinidad,18,I invented a new word Plagiarism!,a197b575763366M,0.526145833,0:06,M,156112,32.17066667
187,Barbados,Canada,22,I invented a new word Plagiarism!,09b18a02b306b185F,0.526145833,0:09,F,623601,25.68533333
188,Barbados,Barbados,,My boss told me to have a good day.. so I went home.,aa7c9743099114M,0.526145833,1:51,M,331548,22.784
189,Trinidad,Trinidad,25,Why was the cook arrested? He was caught beating an egg.,606979a865b28b2M,0.526145833,3:29,M,468928,0
190,Barbados,Barbados,15,Today I will do my best~ said Tomorrow.,0a0b03995b995aaM,0.526145833,4:44,M,435228,29.35466667
191,Trinidad,Trinidad,,Dreams are nothing without implementation.,37549366806a6aF,0.526145833,6:50,F,614344,0
192,Barbados,Barbados,,What do you call a fake noodle? An impasta!,b41264a32623c47F,0.526145833,11:01,F,438105,0
193,Barbados,Barbados,29,I just wrote a book on reverse psychology. Do *not* read it!,77bc4462b345939F,0.526145833,12:12,F,812556,23.63733333
194,Trinidad,Trinidad,22,Did you hear about the guy who invented the knock knock joke? He won the “no-bell” prize.,0cacccb51a8a9baF,0.526145833,14:25,F,343814,0
195,Trinidad,Trinidad,,I invented a new word Plagiarism!,3c4c6a1a43c98c4M,0.526145833,16:17,M,561107,0
196,Jamaica,Jamaica,,If we shouldn’t eat at night~ why do they put a light in the fridge?,38723cb01569028F,0.526145833,16:53,F,837644,0
197,Trinidad,Trinidad,,What kind of tea is hard to swallow? Reality.,3c004733a503668F,0.526145833,17:32,F,222079,0
198,Tobago,Tobago,,You may say I'm a dreamer. But I'm not the only one.,852ab977c2944a7F,0.526145833,18:08,F,684313,31.488
199,Tobago,Tobago,,A blind man walks into a bar. And a table. And a chair.,37c0a9a2c609705F,0.526145833,18:13,F,544288,0
200,Tobago,Tobago,,Dreams are nothing without implementation.,39b462a762a9246F,0.526145833,18:18,F,152723,0
201,Tobago,Tobago,,“The Man who says he can~ and the man who says he can not.. Are both correct”,4c009ccb03357caM,0.526145833,18:22,M,49302,0
202,Tobago,Tobago,,You are beautiful~ no matter what they say.,50399c34589421bF,0.526145833,18:25,F,859105,0
203,St. Lucia,St. Lucia,16,What kind of tea is hard to swallow? Reality.,8391198ab424999F,0.526145833,18:33,F,728269,0
204,Barbados,Barbados,33,Did you hear about the semi-colon that broke the law? He was given two consecutive sentences.,909c246557c918aF,0.526145833,23:13,F,769828,23.89333333
205,St. Lucia,St. Lucia,17,“To be wronged is nothing~ unless you continue to remember it.” ,1a190a114115562F,0.526145833,23:34,F,861911,28.51410431
206,Trinidad,Trinidad,,Today I will do my best~ said Tomorrow.,a3a68c0c242a656F,0.5678125,0:05,F,487019,0
207,Dominica,Grenada,,We are what we repeatedly do. Excellence~ then~ is not an act~ but a habit.,220a761202b95c3F,0.5678125,0:52,F,243227,0
208,St. Lucia,St. Lucia,,What do you call a fake noodle? An impasta!,4bbb34b1c3b10bF,0.5678125,0:53,F,125434,32.512
209,Trinidad,Trinidad,19,Don’t you hate it when someone answers their own questions? I do.,00896a334b490301M,0.5678125,1:12,M,552555,0
210,Bahamas,Grenada,24,A blind man walks into a bar. And a table. And a chair.,c083ac0ba8044bF,0.5678125,1:20,F,179836,0
211,Trinidad,Trinidad,,It is the mark of an educated mind to be able to entertain a thought without accepting it.,b461318c475625F,0.5678125,1:43,F,607281,44.8
212,Grenada,Trinidad,,Did you hear about the semi-colon that broke the law? He was given two consecutive sentences.,c739307cb9b125F,0.5678125,3:37,F,110578,0
213,Jamaica,Jamaica,,Toady is a lovely day.,04814b8c7b19a6aaF,0.5678125,4:41,F,225369,0
214,Trinidad,Trinidad,14,“Everything has beauty~ but not everyone sees it.” ,715a3553212c615F,0.5678125,6:21,F,838757,39.68
215,Barbados,Barbados,,“Never give a sword to a man who can't dance.” ,1087c67c518ababM,0.5678125,8:30,M,750740,32.85333333
216,Trinidad,Trinidad,26,Did you hear about the semi-colon that broke the law? He was given two consecutive sentences.,9664b65859ba498F,0.5678125,14:14,F,324927,0
217,St. Lucia,United States,27,It is the mark of an educated mind to be able to entertain a thought without accepting it.,16047aa2bc28659M,0.5678125,16:02,M,803056,38.656
218,Barbados,Barbados,19,“It does not matter how slowly you go as long as you do not stop.”,44a46915c76c128M,0.5678125,16:20,M,707265,0
219,Barbados,Barbados,27,Dreams are nothing without implementation.,755b20970ca181F,0.5678125,19:16,F,190387,23.552
220,Barbados,Trinidad,21,“To be wealthy and honored in an unjust society is a disgrace.” ,c2a2490c60c25b5M,0.5678125,21:00,M,788846,26.79466667
221,St. Lucia,St. Lucia,17,How to throw a party in space? You planet!,21ac4a7513a7b2cF,0.5678125,23:38,F,344373,24.74666667
222,St. Lucia,St. Lucia,20,It is the mark of an educated mind to be able to entertain a thought without accepting it.,09860a588aa55c98F,0.609479167,0:13,F,159381,23.97866667
223,Trinidad,Trinidad,24,I just wrote a book on reverse psychology. Do *not* read it!,c594268a96a337M,0.609479167,0:23,M,596501,0
224,Trinidad,Trinidad,23,I recently decided to sell my vacuum cleaner as all it was doing was gathering dust.,2720845615bc423M,0.609479167,0:25,M,837064,0
225,Barbados,Belize,,“To be wronged is nothing~ unless you continue to remember it.” ,4045b54693606bbF,0.609479167,0:26,F,210203,0
226,Trinidad,Trinidad,,Today I will do my best~ said Tomorrow.,a52ba28293776aaF,0.609479167,0:38,F,341026,30.89066667
227,St. Vincent and the Grenadines,St. Vincent and the Grenadines,,The numbers 19 and 20 got into a fight. 21,a7453191b52a266F,0.609479167,1:55,F,774642,0
228,Grenada,Grenada,24,“Everything has beauty~ but not everyone sees it.” ,8306cc947c75a4F,0.609479167,2:27,F,470959,0
229,St. Vincent and the Grenadines,St. Vincent and the Grenadines,28,You may say I'm a dreamer. But I'm not the only one.,a120065a382822M,0.609479167,4:53,M,370239,0
230,St. Lucia,St. Lucia,25,I work hard now so in the future I can relax,83a439b233ac31F,0.609479167,5:47,F,323607,30.29333333
231,St. Vincent and the Grenadines,St. Vincent and the Grenadines,,“What the superior man seeks is in himself; what the small man seeks is in others.” ,1317ca158ba36c06M,0.609479167,10:45,M,289579,0
232,St. Vincent and the Grenadines,St. Vincent and the Grenadines,,It is the mark of an educated mind to be able to entertain a thought without accepting it.,012665185c4b395a9M,0.609479167,13:20,M,922258,0
233,Tobago,Trinidad,,I invented a new word Plagiarism!,bc4c525a5363b67M,0.609479167,13:39,M,906231,28.58666667
234,St. Vincent and the Grenadines,St. Vincent and the Grenadines,,I just wrote a book on reverse psychology. Do *not* read it!,a6078bbab92527F,0.609479167,14:56,F,520891,0
235,St. Vincent and the Grenadines,St. Vincent and the Grenadines,16,I recently decided to sell my vacuum cleaner as all it was doing was gathering dust.,696867401c9cc7F,0.609479167,15:20,F,329007,0
236,Trinidad,Trinidad,18,You are beautiful~ no matter what they say.,93a5128025934aM,0.609479167,16:22,M,364924,0
237,St. Vincent and the Grenadines,Grenada,31,I’ve just written a song about tortillas; actually~ it’s more of a rap.,23693492b8c8821F,0.609479167,17:54,F,910216,0
238,Trinidad,Trinidad,17,The numbers 19 and 20 got into a fight. 21,32362bb22c50515F,0.609479167,18:15,F,411808,0
239,Grenada,Grenada,,Today is a lovely day.,4a259bab293607F,0.609479167,18:58,F,152315,0
240,St. Vincent and the Grenadines,St. Vincent and the Grenadines,,“The man who moves a mountain begins by carrying away small stones.” ,49428044160c54aF,0.609479167,19:26,F,807291,0
241,Jamaica,Jamaica,,I just wrote a book on reverse psychology. Do *not* read it!,51051a26b52b77M,0.609479167,20:10,M,470908,0
242,Trinidad,Trinidad,,Dreams are nothing without implementation.,b93a36a64c00b8F,0.609479167,20:45,F,874403,0
243,Barbados,Barbados,,It is the mark of an educated mind to be able to entertain a thought without accepting it.,6947287258c5907M,0.609479167,21:06,M,306747,0
244,St. Vincent and the Grenadines,St. Vincent and the Grenadines,,“It does not matter how slowly you go as long as you do not stop.”,a15c7189bc8312F,0.609479167,23:09,F,277238,0
245,Trinidad,Trinidad,17,What did 0 say to 8? Nice belt!,25c45c957487796F,0.651145833,1:07,F,481492,0
246,Barbados,Barbados,,“What the superior man seeks is in himself; what the small man seeks is in others.” ,a99562175926259M,0.651145833,6:49,M,826787,0
247,Trinidad,Trinidad,,I just wrote a book on reverse psychology. Do *not* read it!,70c10812a0c50caF,0.651145833,10:17,F,557048,31.91466667
248,Grenada,Grenada,21,“Never give a sword to a man who can't dance.” ,335a3189b690862M,0.651145833,10:28,M,732299,0
249,Dominica,Jamaica,,“The gem cannot be polished without friction~ nor man perfected without trials.” ,a95075a34b22c24M,0.651145833,13:32,M,771061,0
250,Trinidad,Trinidad,,Today I will do my best~ said Tomorrow.,2605868b2710a88F,0.651145833,15:50,F,462311,0
251,St. Martin,Turks & Caicos Islands,,I’ve just written a song about tortillas; actually~ it’s more of a rap.,5911a5b846b3a9bF,0.651145833,17:57,F,149134,0
252,Belize,Canada,,Heard about the new restaurant called Karma? There's no menu: You get what you deserve.,bcbc5708615c13M,0.651145833,18:04,M,230263,0
253,Trinidad,Trinidad,24,If we shouldn’t eat at night~ why do they put a light in the fridge?,822775a005b411M,0.651145833,20:55,M,780405,0
254,Trinidad,Trinidad,,Did you hear about the guy who invented the knock knock joke? He won the “no-bell” prize.,278b06b157796c1F,0.651145833,21:26,F,987476,0
255,Grenada,Grenada,,I invented a new word Plagiarism!,1897094a2ccab48F,0.651145833,21:38,F,847525,0
256,Jamaica,Trinidad,26,“The gem cannot be polished without friction~ nor man perfected without trials.” ,a756aa25c8189F,0.651145833,21:43,F,521605,0
257,Trinidad,Trinidad,,Why was the cook arrested? He was caught beating an egg.,7b4904b25803214F,0.651145833,23:03,F,440639,31.232
258,Trinidad,Trinidad,,What did 0 say to 8? Nice belt!,1aa734663589039M,0.6928125,0:54,M,546834,0
259,St. Vincent and the Grenadines,United Kingdom,31,“Everything has beauty~ but not everyone sees it.” ,43c712cc7c80c4M,0.734479167,23:26,M,621665,0
260,Trinidad,Trinidad,,You may say I'm a dreamer. But I'm not the only one.,ca154b0145682aF,0.8178125,10:34,F,762677,30.29333333
261,Barbados,Barbados,23,You are beautiful~ no matter what they say.,bc5bb2a5b2387aM,0.859479167,23:40,M,370201,0
262,Trinidad,Grenada,18,Did you hear about the guy who invented the knock knock joke? He won the “no-bell” prize.,06711bb2957c3544F,0.901145833,0:44,F,689235,0
263,Trinidad,United States,16,Did you hear about the guy who invented the knock knock joke? He won the “no-bell” prize.,a1c56511a45035F,0.901145833,1:11,F,351678,30.03733333
264,Trinidad,St. Vincent and the Grenadines,,Did you hear about the semi-colon that broke the law? He was given two consecutive sentences.,988b0b5649038b8F,0.901145833,1:59,F,672029,0
265,Guyana,Trinidad,22,“Everything has beauty~ but not everyone sees it.” ,04b4a5b5427a18caM,0.901145833,3:44,M,764308,0
266,St. Vincent and the Grenadines,St. Vincent and the Grenadines,18,Today I will do my best~ said Tomorrow.,95ca4599645000aM,0.901145833,5:13,M,88546,0
267,St. Vincent and the Grenadines,St. Vincent and the Grenadines,18,If I got 50 cents for every failed math exam~ I’d have $ 6.30 now.,531c2ac249a7265M,0.901145833,5:20,M,277192,0
268,Grenada,Grenada,,“Respect yourself and others will respect you.”,ac1346506293698F,0.901145833,12:18,F,584014,0
269,Grenada,Grenada,,“He who knows all the answers has not been asked all the questions.”,59ca625807a719F,0.901145833,13:06,F,419819,0
270,Barbados,Barbados,,I work hard now so in the future I can relax,ca08aaa6078728F,0.901145833,13:26,F,840281,0
271,St. Vincent and the Grenadines,St. Vincent and the Grenadines,17,Why was the cook arrested? He was caught beating an egg.,600b79b3a1a4429F,0.901145833,14:26,F,376869,0
272,Trinidad,Trinidad,18,“Respect yourself and others will respect you.”,92285bb3a43823F,0.901145833,16:29,F,194930,0
273,Trinidad,Trinidad,,What did one hat say to the other? You stay here. I’ll go on ahead.,0577622276a23c5aM,0.901145833,16:35,M,693362,0
274,Tobago,Trinidad,23,“Never give a sword to a man who can't dance.” ,b5abc742c3cbac9M,0.901145833,17:15,M,6099,28.04970522
275,Tobago,Tobago,16,If we shouldn’t eat at night~ why do they put a light in the fridge?,7c1ca51810ac37aF,0.901145833,19:06,F,765752,25.344
276,St. Vincent and the Grenadines,St. Vincent and the Grenadines,25,What do you call a fake noodle? An impasta!,121a33687c3a5048M,0.901145833,22:10,M,748238,0
277,Barbados,Barbados,,We are what we repeatedly do. Excellence~ then~ is not an act~ but a habit.,969507510912b84F,0.901145833,23:35,F,172755,28.16
278,Dominican Republic,Jamaica,42,A blind man walks into a bar. And a table. And a chair.,710b134329bcb77M,0.901145833,23:52,M,520722,0
279,St. Martin,British Virgin Islands,,If I got 50 cents for every failed math exam~ I’d have $ 6.30 now.,2440870274a3b87F,0.901145833,23:53,F,727579,0
280,Barbados,Barbados,,We all have 24 hours in the day~ let's not waste it,4ca073025aa1638F,0.9428125,1:09,F,725465,0
281,Trinidad,Trinidad,,I work hard now so in the future I can relax,9b1a7a3932649a9F,0.9428125,2:00,F,499464,0
282,St. Vincent and the Grenadines,St. Vincent and the Grenadines,12,How to throw a party in space? You planet!,11994c4a75a27118F,0.9428125,2:23,F,869695,0
283,St. Vincent and the Grenadines,St. Vincent and the Grenadines,,“To be wealthy and honored in an unjust society is a disgrace.” ,a1b1521a445768F,0.9428125,2:26,F,83219,0
284,Trinidad,Trinidad,,“The Man who says he can~ and the man who says he can not.. Are both correct”,76688363bb65093M,0.9428125,2:26,M,831756,0
285,Antigua & Barbuda,Barbados,22,I just wrote a book on reverse psychology. Do *not* read it!,b15b49495c7b9bF,0.9428125,3:09,F,266540,0
286,St. Lucia,St. Lucia,25,“What the superior man seeks is in himself; what the small man seeks is in others.” ,1ca0157b0c26109F,0.9428125,5:32,F,839469,29.78133333
287,St. Vincent and the Grenadines,St. Vincent and the Grenadines,18,“What the superior man seeks is in himself; what the small man seeks is in others.” ,6c6480009247323F,0.9428125,17:49,F,399080,0
288,Jamaica,Jamaica,,“It does not matter how slowly you go as long as you do not stop.”,07621899bbc1686F,0.9428125,18:44,F,217572,0
289,Trinidad,Trinidad,,A blind man walks into a bar. And a table. And a chair.,0095180a65a586425M,0.984479167,0:16,M,187003,0
290,St. Lucia,St. Lucia,,I just wrote a book on reverse psychology. Do *not* read it!,c023441943235a9F,0.984479167,0:19,F,606058,30.37866667
291,Grenada,Grenada,22,We all have 24 hours in the day~ let's not waste it,5c546a8c558951bM,0.984479167,1:15,M,770117,0
292,St. Vincent and the Grenadines,St. Vincent and the Grenadines,,“It does not matter how slowly you go as long as you do not stop.”,1c298379580471aF,0.984479167,2:30,F,527026,0
293,Barbados,Barbados,,How to throw a party in space? You planet!,8c8943c758b319F,0.984479167,12:45,F,272452,0
294,Trinidad,Trinidad,,I’ve just written a song about tortillas; actually~ it’s more of a rap.,67b93742b794b78M,0.984479167,13:33,M,853532,0
295,Grenada,St. Martin,,Why was the cook arrested? He was caught beating an egg.,a9b333ca4c3ba76F,0.984479167,14:25,F,510399,0
296,St. Lucia,Trinidad,,We all have 24 hours in the day~ let's not waste it,33632670c8691a7F,0.984479167,14:56,F,42440,0
297,Jamaica,Jamaica,16,What do you call a fake noodle? An impasta!,bbb533457615b57F,0.984479167,16:53,F,539602,0
298,St. Lucia,St. Lucia,,“To be wronged is nothing~ unless you continue to remember it.” ,013631bccb5c5a89F,0.984479167,16:57,F,94042,28.58666667
299,Trinidad,Trinidad,25,If we shouldn’t eat at night~ why do they put a light in the fridge?,6c7a48a731325bF,0.984479167,17:49,F,869205,0
300,Trinidad,Trinidad,29,“Respect yourself and others will respect you.”,89ba4983741bc03M,0.984479167,19:20,M,735578,0
301,Jamaica,Jamaica,20,What kind of tea is hard to swallow? Reality.,8c410a060104514F,0.984479167,21:53,F,68251,0
302,St. Vincent and the Grenadines,St. Vincent and the Grenadines,12,If I got 50 cents for every failed math exam~ I’d have $ 6.30 now.,564c988a97029a4M,0.984479167,21:56,M,730148,0
303,Trinidad,Jamaica,,Today is a lovely day.,1574174ca9c66baF,0.984479167,22:47,F,909323,0
304,St. Vincent and the Grenadines,St. Vincent and the Grenadines,,Why was the cook arrested? He was caught beating an egg.,219c637774c57bbF,0.984479167,23:26,F,354036,0
305,St. Vincent and the Grenadines,St. Vincent and the Grenadines,,“It does not matter how slowly you go as long as you do not stop.”,b2b95c5968514aF,24:04:2019,1:34,F,516402,0
306,St. Vincent and the Grenadines,St. Vincent and the Grenadines,23,“Respect yourself and others will respect you.”,c60aba27b653049F,24:04:2019,15:46,F,258699,0
307,St. Vincent and the Grenadines,St. Vincent and the Grenadines,,“What the superior man seeks is in himself; what the small man seeks is in others.” ,5c29c45293c110aF,25:04:2019,2:35,F,310330,0
308,Barbados,Barbados,25,“The man who moves a mountain begins by carrying away small stones.” ,13708763bb901118F,26:04:2019,1:56,F,651570,26.00634921
